
  ----- YM PROFILES ------------------------------------------

         ym          U         u'          W         w'          P         p'
  1.38289921E-01  1.30529604E+00  6.13966679E-02 -1.28462850E-04  4.65270624E-02 -3.85412560E-03  4.79396926E-03
  1.42685795E-01  1.30460009E+00  6.16093708E-02 -1.31526201E-04  4.66541100E-02 -3.85718283E-03  4.81147989E-03
  1.47162763E-01  1.30387175E+00  6.18322112E-02 -1.33906833E-04  4.67882275E-02 -3.86037390E-03  4.82976311E-03
  1.51722321E-01  1.30311002E+00  6.20657124E-02 -1.35504316E-04  4.69297041E-02 -3.86370055E-03  4.84883863E-03
  1.56365991E-01  1.30231384E+00  6.23103710E-02 -1.36215717E-04  4.70787778E-02 -3.86716434E-03  4.86872689E-03
  1.61095326E-01  1.30148212E+00  6.25666428E-02 -1.35941438E-04  4.72356296E-02 -3.87076681E-03  4.88944932E-03
  1.65911905E-01  1.30061372E+00  6.28349306E-02 -1.34592906E-04  4.74003861E-02 -3.87450964E-03  4.91102847E-03
  1.70817339E-01  1.29970742E+00  6.31155765E-02 -1.32101200E-04  4.75731247E-02 -3.87839480E-03  4.93348806E-03
  1.75813267E-01  1.29876200E+00  6.34088592E-02 -1.28425068E-04  4.77538811E-02 -3.88242467E-03  4.95685290E-03
  1.80901357E-01  1.29777613E+00  6.37149996E-02 -1.23556288E-04  4.79426522E-02 -3.88660212E-03  4.98114874E-03
  1.86083310E-01  1.29674847E+00  6.40341708E-02 -1.17520324E-04  4.81393941E-02 -3.89093048E-03  5.00640188E-03
  1.91360857E-01  1.29567758E+00  6.43665075E-02 -1.10370967E-04  4.83440116E-02 -3.89541345E-03  5.03263880E-03
  1.96735763E-01  1.29456199E+00  6.47121087E-02 -1.02179339E-04  4.85563480E-02 -3.90005495E-03  5.05988555E-03
  2.02209823E-01  1.29340011E+00  6.50710291E-02 -9.30196895E-05  4.87761778E-02 -3.90485898E-03  5.08816729E-03
  2.07784866E-01  1.29219029E+00  6.54432611E-02 -8.29554706E-05  4.90032116E-02 -3.90982931E-03  5.11750777E-03
  2.13462755E-01  1.29093082E+00  6.58287187E-02 -7.20282251E-05  4.92371172E-02 -3.91496927E-03  5.14792913E-03
  2.19245387E-01  1.28961986E+00  6.62272329E-02 -6.02492185E-05  4.94775596E-02 -3.92028141E-03  5.17945179E-03
  2.25134695E-01  1.28825555E+00  6.66385630E-02 -4.75917327E-05  4.97242579E-02 -3.92576709E-03  5.21209445E-03
  2.31132647E-01  1.28683593E+00  6.70624247E-02 -3.39828604E-05  4.99770429E-02 -3.93142620E-03  5.24587413E-03
