
  ----- YM PROFILES ------------------------------------------

         ym          U         u'          W         w'          P         p'
  9.46795733E-02  1.24746993E+00  4.39602858E-02  6.70476884E-05  3.60905423E-02 -2.41659721E-03  2.23494429E-03
  9.81524780E-02  1.24707592E+00  4.41095138E-02  5.63161505E-05  3.61791397E-02 -2.41914311E-03  2.24451720E-03
  1.01700135E-01  1.24665935E+00  4.42642470E-02  4.67465503E-05  3.62722722E-02 -2.42184804E-03  2.25465881E-03
  1.05324154E-01  1.24621851E+00  4.44240143E-02  3.80822995E-05  3.63690345E-02 -2.42471447E-03  2.26539754E-03
  1.09026179E-01  1.24575141E+00  4.45886075E-02  2.97626622E-05  3.64686164E-02 -2.42774069E-03  2.27675585E-03
  1.12807888E-01  1.24525599E+00  4.47581886E-02  2.09425484E-05  3.65707222E-02 -2.43092113E-03  2.28874824E-03
  1.16670996E-01  1.24473040E+00  4.49332207E-02  1.06716533E-05  3.66755945E-02 -2.43424912E-03  2.30138530E-03
  1.20617256E-01  1.24417310E+00  4.51143266E-02 -1.86954133E-06  3.67836319E-02 -2.43772050E-03  2.31467804E-03
  1.24648458E-01  1.24358288E+00  4.53021962E-02 -1.72073671E-05  3.68950622E-02 -2.44133552E-03  2.32863598E-03
  1.28766429E-01  1.24295869E+00  4.54976469E-02 -3.55179884E-05  3.70100004E-02 -2.44509838E-03  2.34326105E-03
  1.32973038E-01  1.24229970E+00  4.57017263E-02 -5.67565655E-05  3.71288706E-02 -2.44901425E-03  2.35854369E-03
  1.37270192E-01  1.24160558E+00  4.59154446E-02 -8.09481228E-05  3.72527197E-02 -2.45308614E-03  2.37446363E-03
  1.41659840E-01  1.24087632E+00  4.61395312E-02 -1.08133515E-04  3.73828006E-02 -2.45731360E-03  2.39099508E-03
  1.46143974E-01  1.24011188E+00  4.63744077E-02 -1.37765037E-04  3.75202454E-02 -2.46169394E-03  2.40811977E-03
  1.50724627E-01  1.23931200E+00  4.66201005E-02 -1.68444288E-04  3.76662345E-02 -2.46622626E-03  2.42584381E-03
  1.55403876E-01  1.23847623E+00  4.68765046E-02 -1.98683578E-04  3.78218877E-02 -2.47091535E-03  2.44419846E-03
  1.60183843E-01  1.23760397E+00  4.71437859E-02 -2.27664177E-04  3.79876584E-02 -2.47577441E-03  2.46322416E-03
  1.65066698E-01  1.23669444E+00  4.74222282E-02 -2.55090163E-04  3.81630092E-02 -2.48082594E-03  2.48295066E-03
  1.70054653E-01  1.23574680E+00  4.77119705E-02 -2.80999620E-04  3.83466483E-02 -2.48609748E-03  2.50338701E-03
  1.75149972E-01  1.23476015E+00  4.80126314E-02 -3.05866517E-04  3.85373725E-02 -2.49161480E-03  2.52453225E-03
  1.80354966E-01  1.23373315E+00  4.83234896E-02 -3.30138812E-04  3.87343787E-02 -2.49740020E-03  2.54638936E-03
  1.85671995E-01  1.23266414E+00  4.86439415E-02 -3.54015766E-04  3.89372046E-02 -2.50347261E-03  2.56897434E-03
  1.91103470E-01  1.23155155E+00  4.89740127E-02 -3.77506826E-04  3.91463396E-02 -2.50984442E-03  2.59231302E-03
  1.96651855E-01  1.23039391E+00  4.93150600E-02 -4.00224143E-04  3.93628870E-02 -2.51652137E-03  2.61642818E-03
  2.02319667E-01  1.22918925E+00  4.96691845E-02 -4.21970907E-04  3.95873800E-02 -2.52350908E-03  2.64133017E-03
  2.08109476E-01  1.22793460E+00  5.00376696E-02 -4.43041632E-04  3.98198686E-02 -2.53081640E-03  2.66700622E-03
  2.14023908E-01  1.22662624E+00  5.04200575E-02 -4.63369415E-04  4.00605404E-02 -2.53845996E-03  2.69344824E-03
  2.20065645E-01  1.22526103E+00  5.08137754E-02 -4.83112840E-04  4.03094795E-02 -2.54647229E-03  2.72070046E-03
  2.26237428E-01  1.22383724E+00  5.12156654E-02 -5.03375782E-04  4.05669257E-02 -2.55489718E-03  2.74884761E-03
  2.32542056E-01  1.22235287E+00  5.16236912E-02 -5.25337602E-04  4.08321199E-02 -2.56378412E-03  2.77795938E-03
  2.38982388E-01  1.22080369E+00  5.20376164E-02 -5.50204836E-04  4.11032558E-02 -2.57318131E-03  2.80807458E-03
  2.45561346E-01  1.21918415E+00  5.24569791E-02 -5.78834104E-04  4.13819573E-02 -2.58310541E-03  2.83922757E-03
  2.52281912E-01  1.21749007E+00  5.28816642E-02 -6.10960207E-04  4.16730916E-02 -2.59352164E-03  2.87140645E-03
  2.59147135E-01  1.21571921E+00  5.33149873E-02 -6.43751600E-04  4.19786290E-02 -2.60437330E-03  2.90452364E-03
  2.66160130E-01  1.21386945E+00  5.37632430E-02 -6.71540720E-04  4.22964750E-02 -2.61562368E-03  2.93849091E-03
  2.73324076E-01  1.21193884E+00  5.42295180E-02 -6.89067603E-04  4.26256311E-02 -2.62728077E-03  2.97333284E-03
  2.80642222E-01  1.20992550E+00  5.47129288E-02 -6.96513880E-04  4.29665002E-02 -2.63940323E-03  3.00921252E-03
  2.88117889E-01  1.20782612E+00  5.52110058E-02 -6.98664874E-04  4.33177388E-02 -2.65204097E-03  3.04631128E-03
  2.95754465E-01  1.20563684E+00  5.57206877E-02 -6.98291933E-04  4.36782436E-02 -2.66513697E-03  3.08464011E-03
  3.03555416E-01  1.20335360E+00  5.62416681E-02 -6.95803541E-04  4.40492044E-02 -2.67855852E-03  3.12405122E-03
  3.11524279E-01  1.20097535E+00  5.67783614E-02 -6.90070195E-04  4.44312249E-02 -2.69224906E-03  3.16450783E-03
  3.19664667E-01  1.19850267E+00  5.73344508E-02 -6.79568029E-04  4.48257256E-02 -2.70627443E-03  3.20612656E-03
  3.27980274E-01  1.19593119E+00  5.79104699E-02 -6.66038920E-04  4.52368012E-02 -2.72074817E-03  3.24891623E-03
  3.36474870E-01  1.19325437E+00  5.85083386E-02 -6.57630786E-04  4.56637407E-02 -2.73575696E-03  3.29276542E-03
  3.45152309E-01  1.19046727E+00  5.91330032E-02 -6.61464646E-04  4.60991435E-02 -2.75136114E-03  3.33757853E-03
  3.54016526E-01  1.18756437E+00  5.97888466E-02 -6.78268832E-04  4.65342831E-02 -2.76761323E-03  3.38330185E-03
  3.63071541E-01  1.18454544E+00  6.04718779E-02 -7.01688944E-04  4.69595229E-02 -2.78455308E-03  3.43005031E-03
  3.72321461E-01  1.18141150E+00  6.11723579E-02 -7.21318284E-04  4.73763151E-02 -2.80205923E-03  3.47781097E-03
  3.81770482E-01  1.17815737E+00  6.18876967E-02 -7.29733839E-04  4.78031266E-02 -2.81985161E-03  3.52620105E-03
  3.91422888E-01  1.17477342E+00  6.26238706E-02 -7.22546726E-04  4.82484764E-02 -2.83767303E-03  3.57507343E-03
  4.01246701E-01  1.17126981E+00  6.33764191E-02 -7.01427432E-04  4.87017362E-02 -2.85534738E-03  3.62419786E-03
  4.11073490E-01  1.16770280E+00  6.41222094E-02 -6.72703341E-04  4.91462944E-02 -2.87292836E-03  3.67262250E-03
  4.20757292E-01  1.16412486E+00  6.48512959E-02 -6.41269443E-04  4.95796440E-02 -2.88978914E-03  3.71990615E-03
  4.30287652E-01  1.16054933E+00  6.55593398E-02 -6.09682018E-04  4.99954775E-02 -2.90623558E-03  3.76624224E-03
  4.39667000E-01  1.15698283E+00  6.62437714E-02 -5.78781774E-04  5.03926329E-02 -2.92260340E-03  3.81188753E-03
  4.48897731E-01  1.15342401E+00  6.69116977E-02 -5.47797769E-04  5.07740583E-02 -2.93908591E-03  3.85709668E-03
  4.57982199E-01  1.14986720E+00  6.75703293E-02 -5.15763099E-04  5.11428417E-02 -2.95566598E-03  3.90192743E-03
  4.66922720E-01  1.14631015E+00  6.82228639E-02 -4.81248678E-04  5.15102600E-02 -2.97215540E-03  3.94633244E-03
  4.75721578E-01  1.14275797E+00  6.88691453E-02 -4.45800222E-04  5.18803577E-02 -2.98833499E-03  3.99023654E-03
  4.84381015E-01  1.13922261E+00  6.95078495E-02 -4.10932052E-04  5.22508005E-02 -3.00409155E-03  4.03345887E-03
  4.92903241E-01  1.13571351E+00  7.01367384E-02 -3.74545325E-04  5.26269367E-02 -3.01938948E-03  4.07582250E-03
  5.01290430E-01  1.13223284E+00  7.07553668E-02 -3.36284806E-04  5.30141494E-02 -3.03419610E-03  4.11736975E-03
  5.09544722E-01  1.12877568E+00  7.13666292E-02 -2.97541076E-04  5.34034469E-02 -3.04846536E-03  4.15825853E-03
  5.17668223E-01  1.12533689E+00  7.19691387E-02 -2.58224779E-04  5.37853527E-02 -3.06220018E-03  4.19856594E-03
  5.25663005E-01  1.12191005E+00  7.25575930E-02 -2.15446462E-04  5.41526910E-02 -3.07550037E-03  4.23849723E-03
  5.33531108E-01  1.11849011E+00  7.31322203E-02 -1.64456864E-04  5.45015637E-02 -3.08842050E-03  4.27827560E-03
  5.41274539E-01  1.11507683E+00  7.36965867E-02 -1.03123897E-04  5.48335358E-02 -3.10090935E-03  4.31776992E-03
  5.48895273E-01  1.11167309E+00  7.42501799E-02 -3.71374685E-05  5.51544526E-02 -3.11290604E-03  4.35666258E-03
  5.56395255E-01  1.10828368E+00  7.47916577E-02  2.50675227E-05  5.54677627E-02 -3.12445167E-03  4.39484223E-03
  5.63776398E-01  1.10491238E+00  7.53217806E-02  7.92334014E-05  5.57723081E-02 -3.13569756E-03  4.43238073E-03
  5.71040585E-01  1.10156115E+00  7.58435710E-02  1.24360506E-04  5.60655709E-02 -3.14679569E-03  4.46926660E-03
  5.78189669E-01  1.09823058E+00  7.63559453E-02  1.59283112E-04  5.63467851E-02 -3.15783639E-03  4.50541518E-03
  5.85225474E-01  1.09491905E+00  7.68600883E-02  1.80993548E-04  5.66159368E-02 -3.16877829E-03  4.54070405E-03
  5.92149794E-01  1.09162621E+00  7.73575521E-02  1.87639216E-04  5.68760010E-02 -3.17952855E-03  4.57506354E-03
  5.98964398E-01  1.08835124E+00  7.78487418E-02  1.79590266E-04  5.71312323E-02 -3.19004841E-03  4.60863915E-03
  6.05671022E-01  1.08509355E+00  7.83340910E-02  1.59032204E-04  5.73838677E-02 -3.20032810E-03  4.64172021E-03
  6.12271378E-01  1.08185291E+00  7.88143283E-02  1.32431999E-04  5.76318125E-02 -3.21033253E-03  4.67445606E-03
  6.18767150E-01  1.07862974E+00  7.92906970E-02  1.06501646E-04  5.78719801E-02 -3.21999871E-03  4.70679993E-03
  6.25159995E-01  1.07542578E+00  7.97639471E-02  8.54184949E-05  5.81037212E-02 -3.22927815E-03  4.73866440E-03
  6.31451543E-01  1.07224254E+00  8.02335141E-02  7.20846119E-05  5.83273763E-02 -3.23817133E-03  4.77005839E-03
  6.37643401E-01  1.06907757E+00  8.06954510E-02  6.74216995E-05  5.85442640E-02 -3.24672539E-03  4.80112151E-03
  6.43737147E-01  1.06592625E+00  8.11461883E-02  7.17312410E-05  5.87554054E-02 -3.25501133E-03  4.83205777E-03
  6.49734336E-01  1.06278734E+00  8.15834765E-02  8.34197731E-05  5.89606316E-02 -3.26309814E-03  4.86297830E-03
  6.55636498E-01  1.05966228E+00  8.20068360E-02  9.95622673E-05  5.91608925E-02 -3.27101527E-03  4.89384137E-03
  6.61445139E-01  1.05655165E+00  8.24174617E-02  1.18434154E-04  5.93604715E-02 -3.27874873E-03  4.92449012E-03
  6.67161740E-01  1.05345436E+00  8.28167823E-02  1.39930071E-04  5.95616235E-02 -3.28628895E-03  4.95475022E-03
  6.72787761E-01  1.05036923E+00  8.32058380E-02  1.63644974E-04  5.97629363E-02 -3.29363656E-03  4.98455848E-03
  6.78324636E-01  1.04729542E+00  8.35850985E-02  1.87029151E-04  5.99625396E-02 -3.30078278E-03  5.01391459E-03
  6.83773778E-01  1.04423142E+00  8.39563962E-02  2.08146527E-04  6.01586576E-02 -3.30771787E-03  5.04279335E-03
  6.89136576E-01  1.04117561E+00  8.43234675E-02  2.26104187E-04  6.03508804E-02 -3.31443367E-03  5.07117014E-03
  6.94414400E-01  1.03812830E+00  8.46885971E-02  2.39112992E-04  6.05382756E-02 -3.32091036E-03  5.09906116E-03
  6.99608596E-01  1.03509102E+00  8.50518532E-02  2.46051999E-04  6.07209014E-02 -3.32711710E-03  5.12651697E-03
  7.04720488E-01  1.03206482E+00  8.54123846E-02  2.47326955E-04  6.09006677E-02 -3.33303272E-03  5.15359711E-03
  7.09751381E-01  1.02905075E+00  8.57679960E-02  2.43553836E-04  6.10770138E-02 -3.33864468E-03  5.18034359E-03
  7.14702558E-01  1.02604940E+00  8.61166158E-02  2.36068767E-04  6.12486354E-02 -3.34393791E-03  5.20675348E-03
  7.19575283E-01  1.02306040E+00  8.64581395E-02  2.26745011E-04  6.14162076E-02 -3.34889719E-03  5.23278471E-03
  7.24370798E-01  1.02008329E+00  8.67925261E-02  2.16738112E-04  6.15815936E-02 -3.35351372E-03  5.25842517E-03
  7.29090327E-01  1.01711788E+00  8.71197899E-02  2.05835085E-04  6.17470265E-02 -3.35779010E-03  5.28373833E-03
  7.33735074E-01  1.01416407E+00  8.74412870E-02  1.92943802E-04  6.19135592E-02 -3.36174251E-03  5.30879791E-03
  7.38306224E-01  1.01122171E+00  8.77583516E-02  1.77735500E-04  6.20798427E-02 -3.36540039E-03  5.33363468E-03
  7.42804943E-01  1.00829090E+00  8.80708484E-02  1.61436493E-04  6.22440560E-02 -3.36880066E-03  5.35823874E-03
  7.47232378E-01  1.00537225E+00  8.83785177E-02  1.45370684E-04  6.24055780E-02 -3.37198641E-03  5.38259999E-03
  7.51589660E-01  1.00246679E+00  8.86816493E-02  1.29704834E-04  6.25651509E-02 -3.37500249E-03  5.40674313E-03
  7.55877899E-01  9.99575291E-01  8.89804335E-02  1.14290263E-04  6.27233509E-02 -3.37788563E-03  5.43071710E-03
  7.60098190E-01  9.96698075E-01  8.92756205E-02  9.93982937E-05  6.28801834E-02 -3.38065599E-03  5.45456856E-03
  7.64251610E-01  9.93835123E-01  8.95680289E-02  8.49318707E-05  6.30358223E-02 -3.38331743E-03  5.47832640E-03
  7.68339218E-01  9.90986266E-01  8.98572278E-02  6.98632815E-05  6.31907092E-02 -3.38587058E-03  5.50200765E-03
  7.72362057E-01  9.88151260E-01  9.01421906E-02  5.32153851E-05  6.33447889E-02 -3.38832119E-03  5.52562119E-03
  7.76321152E-01  9.85329426E-01  9.04224719E-02  3.51437473E-05  6.34976451E-02 -3.39067343E-03  5.54915916E-03
  7.80217515E-01  9.82519571E-01  9.06976228E-02  1.63783092E-05  6.36490653E-02 -3.39292514E-03  5.57260667E-03
  7.84052139E-01  9.79720224E-01  9.09670068E-02 -2.60271938E-06  6.37987358E-02 -3.39506849E-03  5.59595602E-03
  7.87826003E-01  9.76930220E-01  9.12304586E-02 -2.17642546E-05  6.39468070E-02 -3.39709030E-03  5.61919348E-03
  7.91540068E-01  9.74149103E-01  9.14882805E-02 -4.12757232E-05  6.40939084E-02 -3.39897707E-03  5.64229318E-03
  7.95195284E-01  9.71376934E-01  9.17415638E-02 -6.11528137E-05  6.42402950E-02 -3.40072023E-03  5.66523455E-03
  7.98792582E-01  9.68613820E-01  9.19918726E-02 -8.10959748E-05  6.43860771E-02 -3.40231363E-03  5.68800333E-03
  8.02332879E-01  9.65859573E-01  9.22401044E-02 -1.00567286E-04  6.45314824E-02 -3.40375407E-03  5.71058356E-03
  8.05817080E-01  9.63113615E-01  9.24860162E-02 -1.19006213E-04  6.46765872E-02 -3.40504655E-03  5.73296965E-03
  8.09246072E-01  9.60375483E-01  9.27289719E-02 -1.36175856E-04  6.48211282E-02 -3.40620138E-03  5.75518005E-03
  8.12620732E-01  9.57645366E-01  9.29684118E-02 -1.52009245E-04  6.49644492E-02 -3.40722874E-03  5.77725697E-03
  8.15941919E-01  9.54923724E-01  9.32038257E-02 -1.66142527E-04  6.51059660E-02 -3.40813775E-03  5.79925339E-03
  8.19210481E-01  9.52210796E-01  9.34348651E-02 -1.78142443E-04  6.52454567E-02 -3.40893877E-03  5.82121701E-03
  8.22427252E-01  9.49506511E-01  9.36615072E-02 -1.87873355E-04  6.53830363E-02 -3.40964304E-03  5.84317899E-03
  8.25593052E-01  9.46810405E-01  9.38841132E-02 -1.95384402E-04  6.55192187E-02 -3.41025761E-03  5.86514545E-03
  8.28708690E-01  9.44121804E-01  9.41032617E-02 -2.00742774E-04  6.56549190E-02 -3.41078229E-03  5.88710058E-03
  8.31774959E-01  9.41440202E-01  9.43192512E-02 -2.04079773E-04  6.57913808E-02 -3.41121270E-03  5.90902203E-03
  8.34792643E-01  9.38765376E-01  9.45318756E-02 -2.05598644E-04  6.59298201E-02 -3.41154514E-03  5.93089528E-03
  8.37762511E-01  9.36097297E-01  9.47407900E-02 -2.05477491E-04  6.60708298E-02 -3.41177697E-03  5.95271971E-03
  8.40685320E-01  9.33436103E-01  9.49459981E-02 -2.03867004E-04  6.62143094E-02 -3.41190417E-03  5.97450941E-03
  8.43561817E-01  9.30782040E-01  9.51479439E-02 -2.00895162E-04  6.63598596E-02 -3.41192058E-03  5.99628929E-03
  8.46392735E-01  9.28135331E-01  9.53472701E-02 -1.96528290E-04  6.65070798E-02 -3.41181922E-03  6.01808395E-03
  8.49178797E-01  9.25496062E-01  9.55445427E-02 -1.90628436E-04  6.66557873E-02 -3.41159267E-03  6.03990560E-03
  8.51920712E-01  9.22864163E-01  9.57401723E-02 -1.83218111E-04  6.68059167E-02 -3.41123424E-03  6.06175403E-03
  8.54619182E-01  9.20239405E-01  9.59344219E-02 -1.74481461E-04  6.69573907E-02 -3.41073922E-03  6.08362407E-03
  8.57274893E-01  9.17621393E-01  9.61276246E-02 -1.64597247E-04  6.71101613E-02 -3.41010557E-03  6.10551051E-03
  8.59888524E-01  9.15009631E-01  9.63199789E-02 -1.53691401E-04  6.72642423E-02 -3.40933581E-03  6.12740909E-03
  8.62460741E-01  9.12403550E-01  9.65112488E-02 -1.41928248E-04  6.74196781E-02 -3.40843677E-03  6.14931734E-03
  8.64992201E-01  9.09802507E-01  9.67010381E-02 -1.29608880E-04  6.75764321E-02 -3.40741473E-03  6.17123430E-03
  8.67483549E-01  9.07205909E-01  9.68891556E-02 -1.17070792E-04  6.77343816E-02 -3.40627147E-03  6.19316128E-03
  8.69935422E-01  9.04613358E-01  9.70756861E-02 -1.04451314E-04  6.78934330E-02 -3.40500493E-03  6.21510673E-03
  8.72348444E-01  9.02024664E-01  9.72608849E-02 -9.16401641E-05  6.80535687E-02 -3.40361152E-03  6.23708999E-03
  8.74723230E-01  8.99439730E-01  9.74451800E-02 -7.84935533E-05  6.82148152E-02 -3.40208730E-03  6.25913708E-03
  8.77060388E-01  8.96858512E-01  9.76291782E-02 -6.50057000E-05  6.83770785E-02 -3.40042872E-03  6.28127385E-03
  8.79360513E-01  8.94281034E-01  9.78134652E-02 -5.13317646E-05  6.85401465E-02 -3.39863316E-03  6.30352145E-03
  8.81624192E-01  8.91707341E-01  9.79984786E-02 -3.77507927E-05  6.87037827E-02 -3.39669850E-03  6.32589438E-03
  8.83852002E-01  8.89137424E-01  9.81844707E-02 -2.45563966E-05  6.88678108E-02 -3.39462297E-03  6.34840180E-03
  8.86044512E-01  8.86571119E-01  9.83715858E-02 -1.19201068E-05  6.90320977E-02 -3.39240557E-03  6.37105010E-03
  8.88202282E-01  8.84008086E-01  9.85599985E-02  1.20702742E-07  6.91965147E-02 -3.39004449E-03  6.39384290E-03
  8.90325861E-01  8.81447913E-01  9.87499516E-02  1.15503808E-05  6.93610306E-02 -3.38753482E-03  6.41677918E-03
  8.92415791E-01  8.78890198E-01  9.89416282E-02  2.23110334E-05  6.95257418E-02 -3.38486824E-03  6.43985566E-03
  8.94472606E-01  8.76334531E-01  9.91351351E-02  3.23296011E-05  6.96907605E-02 -3.38203410E-03  6.46307035E-03
  8.96496830E-01  8.73780482E-01  9.93306092E-02  4.15607586E-05  6.98561220E-02 -3.37902105E-03  6.48642243E-03
  8.98488980E-01  8.71227642E-01  9.95282770E-02  5.00014198E-05  7.00218151E-02 -3.37581784E-03  6.50990959E-03
  9.00449563E-01  8.68675718E-01  9.97283454E-02  5.76669878E-05  7.01877833E-02 -3.37241336E-03  6.53352851E-03
  9.02379081E-01  8.66124531E-01  9.99309510E-02  6.45635810E-05  7.03538979E-02 -3.36879643E-03  6.55727999E-03
  9.04278025E-01  8.63573941E-01  1.00136250E-01  7.06865235E-05  7.05199759E-02 -3.36495537E-03  6.58117092E-03
  9.06146880E-01  8.61023788E-01  1.00344510E-01  7.60542895E-05  7.06858412E-02 -3.36087570E-03  6.60520866E-03
  9.07986122E-01  8.58473844E-01  1.00556142E-01  8.07427444E-05  7.08514115E-02 -3.35653849E-03  6.62939506E-03
  9.09796221E-01  8.55923808E-01  1.00771633E-01  8.48755995E-05  7.10166525E-02 -3.35192124E-03  6.65372632E-03
  9.11577639E-01  8.53373314E-01  1.00991516E-01  8.85805125E-05  7.11814674E-02 -3.34699950E-03  6.67819520E-03
  9.13330829E-01  8.50821963E-01  1.01216376E-01  9.19611217E-05  7.13456702E-02 -3.34174826E-03  6.70279428E-03
  9.15056240E-01  8.48269349E-01  1.01446748E-01  9.51026020E-05  7.15090467E-02 -3.33614367E-03  6.72751902E-03
  9.16754312E-01  8.45715037E-01  1.01683085E-01  9.80664367E-05  7.16714093E-02 -3.33016339E-03  6.75236740E-03
  9.18425477E-01  8.43158519E-01  1.01925784E-01  1.00866607E-04  7.18326151E-02 -3.32378532E-03  6.77733632E-03
  9.20070161E-01  8.40599205E-01  1.02175272E-01  1.03469617E-04  7.19925660E-02 -3.31698672E-03  6.80242064E-03
  9.21688786E-01  8.38036461E-01  1.02432005E-01  1.05827667E-04  7.21511743E-02 -3.30974428E-03  6.82761615E-03
  9.23281763E-01  8.35469591E-01  1.02696431E-01  1.07917389E-04  7.23083312E-02 -3.30203435E-03  6.85292162E-03
  9.24849499E-01  8.32897815E-01  1.02969012E-01  1.09752890E-04  7.24639191E-02 -3.29383253E-03  6.87833677E-03
  9.26392394E-01  8.30320294E-01  1.03250218E-01  1.11361149E-04  7.26178368E-02 -3.28511327E-03  6.90385904E-03
  9.27910841E-01  8.27736171E-01  1.03540513E-01  1.12751991E-04  7.27700109E-02 -3.27584982E-03  6.92948299E-03
  9.29405228E-01  8.25144584E-01  1.03840326E-01  1.13914936E-04  7.29203510E-02 -3.26601433E-03  6.95520102E-03
