
  ----- YM PROFILES ------------------------------------------

         ym          U         u'          W         w'          P         p'
 -7.17484888E-04  1.25310103E+00  4.19514362E-02 -9.59958762E-06  3.51198852E-02 -2.38592952E-03  2.11895035E-03
  7.17484888E-04  1.25310103E+00  4.19514362E-02  9.59958762E-06  3.51198852E-02 -2.38592952E-03  2.11895035E-03
  2.16789820E-03  1.25309986E+00  4.19550893E-02  2.09083229E-05  3.50439305E-02 -2.38420750E-03  2.10602278E-03
  3.64953100E-03  1.25309517E+00  4.19595520E-02  3.45966225E-05  3.50226546E-02 -2.38366351E-03  2.10548125E-03
  5.16305528E-03  1.25308597E+00  4.19650467E-02  4.86428790E-05  3.50156123E-02 -2.38352950E-03  2.10553179E-03
  6.70915748E-03  1.25307247E+00  4.19717630E-02  6.28303933E-05  3.50142273E-02 -2.38349444E-03  2.10572669E-03
  8.28853883E-03  1.25305463E+00  4.19798754E-02  7.71030273E-05  3.50155978E-02 -2.38350580E-03  2.10602376E-03
  9.90191565E-03  1.25303238E+00  4.19895339E-02  9.14257763E-05  3.50186141E-02 -2.38355424E-03  2.10641546E-03
  1.15500197E-02  1.25300556E+00  4.20008751E-02  1.05760648E-04  3.50228073E-02 -2.38363783E-03  2.10690315E-03
  1.32335984E-02  1.25297402E+00  4.20140220E-02  1.20053297E-04  3.50279924E-02 -2.38375549E-03  2.10749012E-03
  1.49534154E-02  1.25293762E+00  4.20290755E-02  1.34221576E-04  3.50341263E-02 -2.38390627E-03  2.10818065E-03
  1.67102506E-02  1.25289618E+00  4.20460979E-02  1.48149326E-04  3.50412457E-02 -2.38408951E-03  2.10897996E-03
  1.85049010E-02  1.25284954E+00  4.20650950E-02  1.61688095E-04  3.50494284E-02 -2.38430499E-03  2.10989447E-03
  2.03381804E-02  1.25279751E+00  4.20860105E-02  1.74666842E-04  3.50587681E-02 -2.38455301E-03  2.11093198E-03
  2.22109202E-02  1.25273988E+00  4.21087395E-02  1.86907544E-04  3.50693553E-02 -2.38483454E-03  2.11210173E-03
  2.41239700E-02  1.25267644E+00  4.21331529E-02  1.98243531E-04  3.50812604E-02 -2.38515118E-03  2.11341422E-03
  2.60781973E-02  1.25260696E+00  4.21591212E-02  2.08536368E-04  3.50945165E-02 -2.38550516E-03  2.11488076E-03
  2.80744885E-02  1.25253121E+00  4.21865287E-02  2.17686191E-04  3.51091060E-02 -2.38589928E-03  2.11651289E-03
  3.01137489E-02  1.25244893E+00  4.22152834E-02  2.25631467E-04  3.51249577E-02 -2.38633671E-03  2.11832177E-03
  3.21969034E-02  1.25235984E+00  4.22453339E-02  2.32337950E-04  3.51419626E-02 -2.38682083E-03  2.12031769E-03
  3.43248970E-02  1.25226362E+00  4.22767042E-02  2.37782013E-04  3.51600147E-02 -2.38735486E-03  2.12250936E-03
  3.64986946E-02  1.25215991E+00  4.23095324E-02  2.41936698E-04  3.51790586E-02 -2.38794174E-03  2.12490319E-03
  3.87192822E-02  1.25204832E+00  4.23440884E-02  2.44766147E-04  3.51991103E-02 -2.38858385E-03  2.12750280E-03
  4.09876670E-02  1.25192844E+00  4.23807538E-02  2.46229075E-04  3.52202313E-02 -2.38928310E-03  2.13030937E-03
  4.33048777E-02  1.25179984E+00  4.24199740E-02  2.46290046E-04  3.52424874E-02 -2.39004098E-03  2.13332263E-03
  4.56719653E-02  1.25166212E+00  4.24622005E-02  2.44934168E-04  3.52659450E-02 -2.39085869E-03  2.13654213E-03
  4.80900035E-02  1.25151484E+00  4.25078409E-02  2.42175062E-04  3.52907229E-02 -2.39173716E-03  2.13996830E-03
  5.05600888E-02  1.25135763E+00  4.25572235E-02  2.38049630E-04  3.53170567E-02 -2.39267724E-03  2.14360376E-03
  5.30833415E-02  1.25119010E+00  4.26105736E-02  2.32605725E-04  3.53453019E-02 -2.39367982E-03  2.14745462E-03
  5.56609062E-02  1.25101192E+00  4.26680270E-02  2.25894685E-04  3.53758547E-02 -2.39474621E-03  2.15153137E-03
  5.82939517E-02  1.25082273E+00  4.27297251E-02  2.17973287E-04  3.54090511E-02 -2.39587841E-03  2.15584890E-03
  6.09836724E-02  1.25062215E+00  4.27959404E-02  2.08902186E-04  3.54451191E-02 -2.39707931E-03  2.16042596E-03
  6.37312881E-02  1.25040966E+00  4.28671159E-02  1.98728481E-04  3.54841962E-02 -2.39835289E-03  2.16528442E-03
  6.65380449E-02  1.25018467E+00  4.29437960E-02  1.87478640E-04  3.55263727E-02 -2.39970436E-03  2.17044900E-03
  6.94052159E-02  1.24994644E+00  4.30265582E-02  1.75201042E-04  3.55717452E-02 -2.40114023E-03  2.17594665E-03
  7.23341015E-02  1.24969421E+00  4.31160183E-02  1.62031142E-04  3.56204989E-02 -2.40266798E-03  2.18180532E-03
  7.53260300E-02  1.24942718E+00  4.32128355E-02  1.48203782E-04  3.56729634E-02 -2.40429543E-03  2.18805230E-03
  7.83823585E-02  1.24914461E+00  4.33175814E-02  1.34000708E-04  3.57295834E-02 -2.40603043E-03  2.19471301E-03
  8.15044730E-02  1.24884572E+00  4.34305508E-02  1.19699636E-04  3.57908586E-02 -2.40788089E-03  2.20181014E-03
  8.46937896E-02  1.24852972E+00  4.35517061E-02  1.05569010E-04  3.58573065E-02 -2.40985478E-03  2.20936353E-03
  8.79517548E-02  1.24819574E+00  4.36807406E-02  9.18895474E-05  3.59293516E-02 -2.41196019E-03  2.21739105E-03
  9.12798462E-02  1.24784282E+00  4.38171457E-02  7.89591071E-05  3.60071476E-02 -2.41420513E-03  2.22591087E-03
