
  ----- YM PROFILES ------------------------------------------

         ym          U         u'          W         w'          P         p'
 -8.42348740E-04  1.25876820E+00  4.55758273E-02 -1.11663417E-06  3.76729969E-02 -2.67539504E-03  2.52267023E-03
  8.42348740E-04  1.25876820E+00  4.55758273E-02  1.11663417E-06  3.76729969E-02 -2.67539504E-03  2.52267023E-03
  2.54833276E-03  1.25877030E+00  4.55787550E-02  3.20283481E-06  3.75580715E-02 -2.66991705E-03  2.51029452E-03
  4.29742779E-03  1.25877069E+00  4.55835712E-02  5.61177208E-06  3.74950666E-02 -2.66835712E-03  2.50847898E-03
  6.09072325E-03  1.25876658E+00  4.55899363E-02  8.08901066E-06  3.74665130E-02 -2.66788413E-03  2.50827466E-03
  7.92933613E-03  1.25875783E+00  4.55979928E-02  1.05549081E-05  3.74523939E-02 -2.66780103E-03  2.50843309E-03
  9.81441160E-03  1.25874450E+00  4.56078460E-02  1.29657296E-05  3.74457065E-02 -2.66786883E-03  2.50879996E-03
  1.17471238E-02  1.25872655E+00  4.56196352E-02  1.52822156E-05  3.74433863E-02 -2.66801505E-03  2.50932038E-03
  1.37286765E-02  1.25870387E+00  4.56334818E-02  1.74640293E-05  3.74439778E-02 -2.66822272E-03  2.50998070E-03
  1.57603040E-02  1.25867626E+00  4.56494908E-02  1.94669701E-05  3.74467925E-02 -2.66849025E-03  2.51078168E-03
  1.78432716E-02  1.25864349E+00  4.56677431E-02  2.12429847E-05  3.74515326E-02 -2.66881928E-03  2.51172892E-03
  1.99788768E-02  1.25860526E+00  4.56882995E-02  2.27415643E-05  3.74581095E-02 -2.66921149E-03  2.51282932E-03
  2.21684498E-02  1.25856124E+00  4.57112071E-02  2.39124946E-05  3.74665476E-02 -2.66966805E-03  2.51409001E-03
  2.44133542E-02  1.25851106E+00  4.57365112E-02  2.47091383E-05  3.74769302E-02 -2.67018966E-03  2.51551802E-03
  2.67149885E-02  1.25845430E+00  4.57642673E-02  2.50911094E-05  3.74893680E-02 -2.67077668E-03  2.51712015E-03
  2.90747860E-02  1.25839050E+00  4.57945510E-02  2.50251476E-05  3.75039809E-02 -2.67142923E-03  2.51890299E-03
  3.14942168E-02  1.25831915E+00  4.58274643E-02  2.44837328E-05  3.75208903E-02 -2.67214724E-03  2.52087306E-03
  3.39747877E-02  1.25823971E+00  4.58631387E-02  2.34421914E-05  3.75402167E-02 -2.67293050E-03  2.52303693E-03
  3.65180438E-02  1.25815159E+00  4.59017387E-02  2.18758625E-05  3.75620802E-02 -2.67377866E-03  2.52540149E-03
  3.91255691E-02  1.25805417E+00  4.59434671E-02  1.97584356E-05  3.75865988E-02 -2.67469124E-03  2.52797416E-03
